sheet,key,column,type,old,new
Veeva Vault RIA,Geographic Assignment Rollout,,Record Added,,Entire Record Added
Veeva Vault RIA,Tax Rates: Calculating Tax Rate Total Value,,Record Added,,Entire Record Added
Veeva Vault RIA,Case Significance,,Record Added,,Entire Record Added
Veeva Vault RIA,Make a Copy: Exclude Inactive Record Values,,Record Added,,Entire Record Added
Veeva Vault RIA,Stability Study: Create Copy of Sample Plan & Spec Data,,Record Added,,Entire Record Added
Veeva Vault RIA,Milestone Document Hardening,,Record Added,,Entire Record Added
Veeva Vault RIA,FDA Reporting: Support for Individual Study Device Submissions,,Record Added,,Entire Record Added
Veeva Vault RIA,Word Formatted Output: Support for GetRelatedRecords Formula,,Record Added,,Entire Record Added
Veeva Vault RIA,Disposition Plan Autonumber Title,,Record Added,,Entire Record Added
Veeva Vault RIA,RIM-Clinical Operations Connection: RIM Connection Stats,,Record Added,,Entire Record Added
Veeva Vault RIA,Curriculum Due Dates,,Record Added,,Entire Record Added
Veeva Vault RIA,PromoMats-CRM Connection: Approved Email,,Record Added,,Entire Record Added
Veeva Vault RIA,Rights Manager,,Record Added,,Entire Record Added
Veeva Vault RIA,Audit Room: Expanded Inspection Request Card,,Record Added,,Entire Record Added
Veeva Vault RIA,Pre-Training Quiz,,Record Added,,Entire Record Added
Veeva Vault RIA,Protocol Deviation Subject Visit Context Improvement,,Record Added,,Entire Record Added
Veeva Vault RIA,Document Action Filtering,,Record Added,,Entire Record Added
Veeva Vault RIA,PromoMats-CRM Connection: Document Transfer,,Record Added,,Entire Record Added
Veeva Vault RIA,Multi-Market IDMP Data Model & Aggregation Updates,,Record Added,,Entire Record Added
Veeva Vault RIA,MLR: Document Compare,,Record Added,,Entire Record Added
Veeva Vault RIA,User License Warnings for SafetyDocs Documents,,Record Added,,Entire Record Added
Veeva Vault RIA,Medical Timeline: Sorting & Unknown Dates,,Record Added,,Entire Record Added
Veeva Vault RIA,PMDA Regulatory Comments Assistance,,Record Added,,Entire Record Added
Veeva Vault RIA,Signal Review Scheduling,,Record Added,,Entire Record Added
Veeva Vault RIA,External Collaboration Checklists: Display Follow-Up Interface on Completed Checklists,,Record Added,,Entire Record Added
Veeva Vault RIA,Vault No Longer Creates Gateway Profiles,,Record Added,,Entire Record Added
Veeva Vault RIA,FDA FAERS E2B(R3): Replace Unsupported Characters,,Record Added,,Entire Record Added
Veeva Vault RIA,Update Component Security on Name Field on User Role Setup (Case) Object,,Record Added,,Entire Record Added
Veeva Vault RIA,Medical: CLM Publishing,,Record Added,,Entire Record Added
Veeva Vault RIA,Enforce Atomic Security in Audit Logs,,Record Added,,Entire Record Added
Veeva Vault RIA,Remove Reliance on Risk Library for Study Specific Risk Assessments,,Record Added,,Entire Record Added
Veeva Vault RIA,Calculated Result Can Use Input Attributes,,Record Added,,Entire Record Added
Veeva Vault RIA,Bulk Export Scalability Improvement,,Record Added,,Entire Record Added
Veeva Vault RIA,QualityDocs & Station Manager Objects: Add Key Document Fields,,Record Added,,Entire Record Added
Veeva Vault RIA,External Collaboration Enhancement: Display Veeva Quality Logo,,Record Added,,Entire Record Added
Veeva Vault RIA,Support Workflow & Task Owner in Report Formula Fields,,Record Added,,Entire Record Added
Veeva Vault RIA,Payments:Alternate Currency Rounding,,Record Added,,Entire Record Added
Veeva Vault RIA,VPS: Concomitant Products & Related AER Improvements,,Record Added,,Entire Record Added
Veeva Vault RIA,Scientific Statements: Deep Delete,,Record Added,,Entire Record Added
Veeva Vault RIA,Layout Profiles Supported in Action Triggers,,Record Added,,Entire Record Added
Veeva Vault RIA,Related Batch Application Section,,Record Added,,Entire Record Added
Veeva Vault RIA,Quality-RIM Connection: Document Creation Triggers Outbound Job,,Record Added,,Entire Record Added
Veeva Vault RIA,Design Data Builder: Chart Definitions,,Record Added,,Entire Record Added
Veeva Vault RIA,Generate Draft PSMF PDF,,Record Added,,Entire Record Added
Veeva Vault RIA,Download as PDF: Deduplicated Records in Related Join Object Sections,,Record Added,,Entire Record Added
Veeva Vault RIA,Time Picker: Clear Invalid Input,,Record Added,,Entire Record Added
Veeva Vault RIA,Complaint Agent & Deviation Agent: User Experience Improvements,,Record Added,,Entire Record Added
Veeva Vault RIA,Medical-CRM Connection: CLM Content Metrics,,Record Added,,Entire Record Added
Veeva Vault RIA,Enable Scientific Communication Platform UI in All MedComms Vaults,,Record Added,,Entire Record Added
Veeva Vault RIA,Automatically Run Early Notification Rules on Case Promotion,,Record Added,,Entire Record Added
Veeva Vault RIA,Additional LOD Picklist Value,,Record Added,,Entire Record Added
Veeva Vault RIA,Study Content Protection Reevaluation,,Record Added,,Entire Record Added
Veeva Vault RIA,EUDAMED XSD Version 3.0.30 Support,,Record Added,,Entire Record Added
Veeva Vault RIA,VPS: Product Attributes Management,,Record Added,,Entire Record Added
Veeva Vault RIA,Milestone Planning View Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Set OpenData ID in Record View Mode,,Record Added,,Entire Record Added
Veeva Vault RIA,HACCP Flow Diagram: Display Risk Category Field as Clickable Link,,Record Added,,Entire Record Added
Veeva Vault RIA,Document Change Control: Display Related Documents,,Record Added,,Entire Record Added
Veeva Vault RIA,Standard FDA eMDR Transmission Profile Document Type,,Record Added,,Entire Record Added
Veeva Vault RIA,HACCP Flow Diagram: Update to Label of Hazard Significance Filtering Option,,Record Added,,Entire Record Added
Veeva Vault RIA,FDA E2B(R3) Relabeled to FDA FAERS E2B(R3),,Record Added,,Entire Record Added
Veeva Vault RIA,Claims: Text Asset Auto-Linking Settings Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Prevent Automatic PSMF Logbook Generation,,Record Added,,Entire Record Added
Veeva Vault RIA,Disclosures US Results: Add Notes & NA Explanations,,Record Added,,Entire Record Added
Veeva Vault RIA,API Access Tokens,,Record Added,,Entire Record Added
Veeva Vault RIA,Record Migration Mode Inheritance,,Record Added,,Entire Record Added
Veeva Vault RIA,Added More Standard Fields for Study Phase,,Record Added,,Entire Record Added
Veeva Vault RIA,MedDRA International Sort Order,,Record Added,,Entire Record Added
Veeva Vault RIA,Non-Routine & Ad Hoc Sample Testing,,Record Added,,Entire Record Added
Veeva Vault RIA,Print Disclosures & Save to Library,,Record Added,,Entire Record Added
Veeva Vault RIA,HACCP Flow Diagram: Intermediate State for Connections,,Record Added,,Entire Record Added
Veeva Vault RIA,Test Definition: Formatting Options Can Be Optional,,Record Added,,Entire Record Added
Veeva Vault RIA,Inbox Item Data Archiving,,Record Added,,Entire Record Added
Veeva Vault RIA,Active Dossier: Country Status Icon Improvements,,Record Added,,Entire Record Added
Veeva Vault RIA,Study Training Matrix Snapshot,,Record Added,,Entire Record Added
Veeva Vault RIA,MedDRA Upversion for Business Administration,,Record Added,,Entire Record Added
Veeva Vault RIA,Collaborative Authoring: Increase Participant Limit for Automatic Mentioning,,Record Added,,Entire Record Added
Veeva Vault RIA,UDI Submissions to GUDID,,Record Added,,Entire Record Added
Veeva Vault RIA,Optional Due Dates for Matrix Training,,Record Added,,Entire Record Added
Veeva Vault RIA,Signal Detection Plans: Data Model,,Record Added,,Entire Record Added
Veeva Vault RIA,Audit Room: Publish Inspection Request from Any Lifecycle State,,Record Added,,Entire Record Added
Veeva Vault RIA,Auto-Append STF,,Record Added,,Entire Record Added
Veeva Vault RIA,Monitoring Event Follow Up Item Seeding Logic Updates,,Record Added,,Entire Record Added
Veeva Vault RIA,Vault AI Tab,,Record Added,,Entire Record Added
Veeva Vault RIA,WHODrug Company Product Autocoding,,Record Added,,Entire Record Added
Veeva Vault RIA,Connection Authorization Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,External Notifications: Support for Complaint Intake,,Record Added,,Entire Record Added
Veeva Vault RIA,Safety-RIM Connection: Data Transfer Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Training & Study Training Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Study Training Matrix Builder Edit Menu Change,,Record Added,,Entire Record Added
Veeva Vault RIA,Sticky Dashboard Totals,,Record Added,,Entire Record Added
Veeva Vault RIA,Fee Schedule Templates: Cost Automation,,Record Added,,Entire Record Added
Veeva Vault RIA,Claims Agent for PromoMats,,Record Added,,Entire Record Added
Veeva Vault RIA,Enhanced Logging for MedInquiry Email Intake,,Record Added,,Entire Record Added
Veeva Vault RIA,QRM: Manage Related Documents in Risk Builder,,Record Added,,Entire Record Added
Veeva Vault RIA,Case Management UI: Timeline Panel,,Record Added,,Entire Record Added
Veeva Vault RIA,Process Navigator: Support Ten Dynamic Document Association Criteria Rules,,Record Added,,Entire Record Added
Veeva Vault RIA,Advanced Logic for Report Set Filters,,Record Added,,Entire Record Added
Veeva Vault RIA,Dashboard Analysis with View Parameters,,Record Added,,Entire Record Added
Veeva Vault RIA,Enhanced Aggregate Formulas,,Record Added,,Entire Record Added
Veeva Vault RIA,Safety-EDC Connection: Respond to Form Sequence Number,,Record Added,,Entire Record Added
Veeva Vault RIA,Partially Completed Follow-up Questionnaires,,Record Added,,Entire Record Added
Veeva Vault RIA,Editable Standard Formatted Output Templates,,Record Added,,Entire Record Added
Veeva Vault RIA,Collaborative Authoring Logs for OAuth Errors,,Record Added,,Entire Record Added
Veeva Vault RIA,Spec Execution: Initiated Date & Time,,Record Added,,Entire Record Added
Veeva Vault RIA,Assess Local Activities Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Test Execution: Display Spec Criteria,,Record Added,,Entire Record Added
Veeva Vault RIA,eCTD: Auto-On Redline Annotations,,Record Added,,Entire Record Added
Veeva Vault RIA,Document Intake Panel: Support for Additional Fields,,Record Added,,Entire Record Added
Veeva Vault RIA,FDA Reporting: NullFlavor Export Updates,,Record Added,,Entire Record Added
Veeva Vault RIA,Copy Into Global Content Plans,,Record Added,,Entire Record Added
Veeva Vault RIA,Prevent Lifecycle State Change When Error Occurs While Generating PSMF PDFs,,Record Added,,Entire Record Added
Veeva Vault RIA,eMDR Device Form Validations,,Record Added,,Entire Record Added
Veeva Vault RIA,Promote to Complaint Enhancement: Ignore Inactive Fields,,Record Added,,Entire Record Added
Veeva Vault RIA,PromoMats: CLM Slide Comparison User Interface,,Record Added,,Entire Record Added
Veeva Vault RIA,Medical-CRM Connection: Document Transfer,,Record Added,,Entire Record Added
Veeva Vault RIA,Completion of E-Learning Completes Training Assignment,,Record Added,,Entire Record Added
Veeva Vault RIA,Audit Room: Auto-Add Assignee to Fulfiller Role on Inspection Request,,Record Added,,Entire Record Added
Veeva Vault RIA,Stability Study Field Update,,Record Added,,Entire Record Added
Veeva Vault RIA,Process Monitor: Saved Results,,Record Added,,Entire Record Added
Veeva Vault RIA,Download Document Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Configurable By Exception,,Record Added,,Entire Record Added
Veeva Vault RIA,Quick Check Agent & Content Agent Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,TMF Quality Review,,Record Added,,Entire Record Added
Veeva Vault RIA,Readability Updates to Rules Based Narratives Follow-up Summary,,Record Added,,Entire Record Added
Veeva Vault RIA,Complaint Intake Follow-Up: Manual Processing,,Record Added,,Entire Record Added
Veeva Vault RIA,Payments: Site Contract Tracking,,Record Added,,Entire Record Added
Veeva Vault RIA,Save Report Sets to the Library,,Record Added,,Entire Record Added
Veeva Vault RIA,Disclosures: Site List Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Spec Data Builder: Formatting Options Now Editable,,Record Added,,Entire Record Added
Veeva Vault RIA,JSON Data Integrity,,Record Added,,Entire Record Added
Veeva Vault RIA,Test Definition Input & Test Input: Amount Field Update,,Record Added,,Entire Record Added
Veeva Vault RIA,Display Record Count for QMS Sections,,Record Added,,Entire Record Added
Veeva Vault RIA,Custom Report Naming from Dashboards,,Record Added,,Entire Record Added
Veeva Vault RIA,PromoMats: CLM Publishing,,Record Added,,Entire Record Added
Veeva Vault RIA,Update Active Dossier from Country Decision Detail,,Record Added,,Entire Record Added
Veeva Vault RIA,Clinical Operations-EDC Connection: Restricted Subject Visit Creation,,Record Added,,Entire Record Added
Veeva Vault RIA,Prior Contact Information Relationship Optimization,,Record Added,,Entire Record Added
Veeva Vault RIA,Improved Localization for Number Fields,,Record Added,,Entire Record Added
Veeva Vault RIA,FDA Reporting: Unique Device Identifiers Update,,Record Added,,Entire Record Added
Veeva Vault RIA,Periodic Review: Reassignment of Inactive Document Owner,,Record Added,,Entire Record Added
Veeva Vault RIA,Site Connect UI Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,MedInquiry: Case Processing Agent,,Record Added,,Entire Record Added
Veeva Vault RIA,Enhanced IDMP Support for UDI-DI,,Record Added,,Entire Record Added
Veeva Vault RIA,Disclosures US Results: Outcome Measure Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,Metrics in Portals,,Record Added,,Entire Record Added
Veeva Vault RIA,Quality Relationships Panel Enhancement: Support for Archived Documents,,Record Added,,Entire Record Added
Veeva Vault RIA,Remove Blind Protection for Investigator Causality,,Record Added,,Entire Record Added
Veeva Vault RIA,Quiz Dynamic Sections,,Record Added,,Entire Record Added
Veeva Vault RIA,Download Acknowledgment Details,,Record Added,,Entire Record Added
Veeva Vault RIA,External Notifications: Support for Email Document Attachments,,Record Added,,Entire Record Added
Veeva Vault RIA,Claims: Entry Criteria to Validate References Are in Steady State,,Record Added,,Entire Record Added
Veeva Vault RIA,Show Input Name in Test Execution,,Record Added,,Entire Record Added
Veeva Vault RIA,Transmission Profile Creation Limit Removed,,Record Added,,Entire Record Added
Veeva Vault RIA,Monitoring Event Question Status Badges,,Record Added,,Entire Record Added
Veeva Vault RIA,Validation Criteria: Failed Validation Error Handling,,Record Added,,Entire Record Added
Veeva Vault RIA,Stability Study Builder,,Record Added,,Entire Record Added
Veeva Vault RIA,Study Training-Clinical Operations Connection: Support for Cross-Domain Users,,Record Added,,Entire Record Added
Veeva Vault RIA,Workbench PMDA Postmarket Aggregate Reports,,Record Added,,Entire Record Added
Veeva Vault RIA,Vault Loader Performance Enhancements,,Record Added,,Entire Record Added
Veeva Vault RIA,IDMP Output Record Purge,,Record Added,,Entire Record Added
Veeva Vault RIA,VPS: Generate AER Snapshot,,Record Added,,Entire Record Added
Veeva Vault RIA,Document Fields in Object Formula Fields,,Record Added,,Entire Record Added
Veeva Vault RIA,Allow Marketing to Investigational (Same Agency) Reporting Scenario,,Record Added,,Entire Record Added
Veeva Vault RIA,IMIC Literature Intake,,Record Added,,Entire Record Added
Veeva Vault RIA,Support Localized Number Formatting for App Pages,,Record Added,,Entire Record Added
Veeva Vault RIA,Update Training Assignments Job Performance Improvements,,Record Added,,Entire Record Added
Veeva Vault RIA,HAQ Response Automations: Default Fields on Response Document,,Record Added,,Entire Record Added
Veeva Vault RIA,Quality-RIM Connection: Enhanced Change Control Integration Deleted RCI Enhancement,,Record Added,,Entire Record Added
Veeva Vault RIA,VPS: Contact Information Improvements,,Record Added,,Entire Record Added
Veeva Vault RIA,Complaint Contacts,,Record Added,,Entire Record Added
Veeva Vault RIA,Query Profiler,,Record Added,,Entire Record Added
Veeva Vault RIA,Medical: Rights Manager,,Record Added,,Entire Record Added
Veeva Vault RIA,Process Monitor: Drill Down,,Record Added,,Entire Record Added
Veeva Vault RIA,File Count Validation for Record Attachments,,Record Added,,Entire Record Added
Veeva Vault RIA,Assign Training Requirement to Learner,,Record Added,,Entire Record Added
Veeva Vault RIA,JP eCTD 4.0 Updates to CVs and OIDs (Tabulation & Analysis),,Record Added,,Entire Record Added
Veeva Vault RIA,Narrative Agent: Custom Instructions,,Record Added,,Entire Record Added
Veeva Vault RIA,Preview for Overlay & Signature Page Templates,,Record Added,,Entire Record Added
Veeva Vault RIA,Upper Level of Quantification (ULOQ),,Record Added,,Entire Record Added
Veeva Vault RIA,Disclosures Person & Organization Search & Fill,,Record Added,,Entire Record Added
Veeva Vault RIA,Move CTN Setting Back to CTMS Settings,,Record Added,,Entire Record Added
Veeva Vault RIA,EVDAS Data Requests & Automated Processing,,Record Added,,Entire Record Added
Veeva Vault RIA,CTMS Transfer: Study Site Addresses,,Record Added,,Entire Record Added
Veeva Vault RIA,Responsive UI for Safety,,Record Added,,Entire Record Added
Veeva Vault RIA,Case Version Compare: Improved Record Matching,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Complaint Intake for MedTech,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Claims: Text Asset Auto-Linking Settings,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Reusable Report Sets,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Medical-CRM Connection: Country Integration,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Related Event Section: Display Gestures Based on User Permissions,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Station Manager Activity Object Enhancements,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Station Manager Support for iOS 26,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Transmission Reason Defaulting for Migrated Cases,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Delete CrossLink Document After Archival Snapshot,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Excel Copy/Paste,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Bulk Manage Requirements & Specifications,,Record Removed,Entire Record Removed,
Veeva Vault RIA,GCP Dispatch to Follow-Up Submissions,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Proposed APQR-to-APQR Date Field Inheritance,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Test Definition Builder: Keyboard Shortcuts & Navigation,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Supplier Questionnaires: Follow-Up & Invite Respondents,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Delete Expired PAL,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Advanced Start Support for Multi-Record Object Workflows in Content Plan Viewer,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Deferred Domestic Processing: Localized Event Reported in Native Language,,Record Removed,Entire Record Removed,
Veeva Vault RIA,VeevaID Recent Activity,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Actual Date Offsets,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Bulk Translation Multi-File Import,,Record Removed,Entire Record Removed,
Veeva Vault RIA,OCR Limit Increases,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Study Training Enhancements,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Custom Email Senders for Completed Survey Notification & Generate New Link,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Support for Product Management Service (PMS) Data Submission,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Test Definition Builder: Default Basic Variable Name,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Automated Adjustment: Amount Override,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Email Body Section: Display Warning Message When Content Exceeds Character Limit,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Trend Charts: Regression Support for Stability,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Reason for Change: Support for Word Formatted Outputs,,Record Removed,Entire Record Removed,
Veeva Vault RIA,New Calculation Scope: All Tests with Same Root Parent,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Set Lab Study Owner on Creation from Lab Study Design,,Record Removed,Entire Record Removed,
Veeva Vault RIA,eCTD 4.0 Archive & Viewing: Document Reuse Recurrence Handling,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Claims: Hierarchical Copy,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Safety-EDC Connection: Improved User Error Messages,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Clearer Error Handling When Generating PSMF PDFs,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Display as Simple for Complex Relationships,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Correspondence Email Processor,,Record Removed,Entire Record Removed,
Veeva Vault RIA,"Test Definition Builder: For Variation Result Inclusion, Auto-Select Dependent Results",,Record Removed,Entire Record Removed,
Veeva Vault RIA,Filter OpenData Clinical Investigators & Sites by OpenData ID,,Record Removed,Entire Record Removed,
Veeva Vault RIA,eCTD: Enhanced Support for Video/Audio Files,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Display Non-Current MedDRA-J Term,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Premarket Boxed Warning Detection for Quick Check Agent,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Test Definition Builder: Respect Default Values,,Record Removed,Entire Record Removed,
Veeva Vault RIA,EUDAMED Submission Security,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Bulk Copy Issue to Multiple Subjects,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Case Approval Due Date,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Enhance No Subjects Enrolled Trigger Logic to Include Deleted in CDMS Status,,Record Removed,Entire Record Removed,
Veeva Vault RIA,System Link RTSM Domain & Link Naming,,Record Removed,Entire Record Removed,
Veeva Vault RIA,WHODrug Global Chinese Browser,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Contact Search Dialog Sorting,,Record Removed,Entire Record Removed,
Veeva Vault RIA,My Team: Learner Compare & Initiate Changes,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Create Missing Record Action Usability Improvements,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Test Execution Limit Update to 50 Tests,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Individual Case Routing Criteria Expression Requirements,,Record Removed,Entire Record Removed,
Veeva Vault RIA,NMPA Validation Criteria Updates,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Streamlined Import with Automated eCTD Data Population,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Word Formatted Output: Increased Rowset Limit,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Default Report Styling Template,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Content Plan Viewer Enhancements,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Material Is a Required Field on Batch,,Record Removed,Entire Record Removed,
Veeva Vault RIA,South Korea Validation Updates,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Enhanced Reference Lookups,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Scientific Statements: Hierarchical Copy,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Scientific Communication Platform: User Interface Task Bar,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Case Promotion: Reportability Calculation,,Record Removed,Entire Record Removed,
Veeva Vault RIA,RIM-PromoMats Connection: AdPromo Submission Performance Improvements,,Record Removed,Entire Record Removed,
Veeva Vault RIA,eCOA-Clinical Operations Connection: Study Design Specification,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Download as PDF,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Checklist: Allow Other Participants in Checklist Workflows,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Calendar Date Report Filters,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Standardized Word Markup,,Record Removed,Entire Record Removed,
Veeva Vault RIA,New CrossLink Source Type,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Add Missing Parent from OpenData Clinical Site,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Test Definition Compare: Hide Fields Not Applicable to Object Type,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Design Data Builder: Edit Starting Screen Field Values,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Adjustment to Action Trigger Behavior on User Records,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Support Up to 5 External Collaborators for Document External Collaboration,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Duplicate Detection Subject Matching for Clinical Trial Cases,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Spec Data Builder: Sample Plan Can Be Edited If Blank,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Test Definition Builder: General UI Updates,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Scientific Statements: Auto-Linking by Object Type,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Validation Criteria: Assessments Require Products & Adverse Events (G.k.9.i.1),,Record Removed,Entire Record Removed,
Veeva Vault RIA,Safety-EDC Connection: User-Friendly Error Messages,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Deep Linking to Training Requirements for Self Enrollment,,Record Removed,Entire Record Removed,
Veeva Vault RIA,PMDA: Multiple Marketing Authorization Holder Automation,,Record Removed,Entire Record Removed,
Veeva Vault RIA,VPS: Generate PDF & XML with a Single Action,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Organization Scalability Enhancements,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Training Completions Grant Clinical Access,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Streamlined Multi-Vault Navigation,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Optimized Record Detail Display,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Document Follow-Up Questionnaires,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Disclosures: Enhancements to Custom XML Generation,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Updates to Styling of Registrations Wizards & Pages,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Code Relevant Products,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Clinical Operations-EDC Connection: Visit Review Progress Indication,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Sample Result Entry Display Sample Name,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Vault Loader Support for No Triggers with Document Migration Mode,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Searchable Object Fields Admin UI Update,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Download Step & Discrepancy Attachments For Test Scripts,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Custom Sharing Rules on Reports,,Record Removed,Entire Record Removed,
Veeva Vault RIA,FDA E2B(R3): Primary Study Selection for Cross Reporting,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Trend Charts,,Record Removed,Entire Record Removed,
Veeva Vault RIA,QMS Change Related Object Lifecycle State Action: Allow Download of Failed Records,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Criteria Formula Field is Not Required,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Validation Criteria: Qualification Required When Reporter Is Primary,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Increase PSMF Logbook Record Limit,,Record Removed,Entire Record Removed,
Veeva Vault RIA,General Enhancements for Quick Check Agent & Content Agent,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Document Scanner Improvements for Android Devices,,Record Removed,Entire Record Removed,
Veeva Vault RIA,PSMF: Display Document Title in PDF Table of Contents,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Enhanced Field Update Behavior for Document Creation Event Actions,,Record Removed,Entire Record Removed,
Veeva Vault RIA,FDA eMDR Automated Site Report Numbering,,Record Removed,Entire Record Removed,
Veeva Vault RIA,New Fields in Active Dossier Viewer,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Add Product Families to Aggregate Reporting Groups: Data Model,,Record Removed,Entire Record Removed,
Veeva Vault RIA,PVA: Defer Contact Entry,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Product Family Substances Sync Action,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Quality Relationships Panel: Document Change Request Enhancement,,Record Removed,Entire Record Removed,
Veeva Vault RIA,FDA E2B(R3): IND Aggregate Reports,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Smart Page Detection for Boxed Warning Check in Quick Check Agent,,Record Removed,Entire Record Removed,
Veeva Vault RIA,"Pagination, Column & Filter Limits",,Record Removed,Entire Record Removed,
Veeva Vault RIA,Claims and Modular Commenting Enhancements,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Report Filter Operator: Not In,,Record Removed,Entire Record Removed,
Veeva Vault RIA,Scientific Statements: Indication Available for Metadata,,Record Removed,Entire Record Removed,
